shop_id,date,day_of_week,shop_area_sq_ft,Shop_profile,revenue,quantity_sold,month,day,year,revenue_lag1,quantity_sold_lag1,revenue_7d_mean,quantity_sold_7d_mean,revenue_14d_mean,quantity_sold_14d_mean,revenue_30d_mean,quantity_sold_30d_mean,area_sold_interaction
0,2021-11-13,2,580,1.0,10495,42,11,13,2021,6060.0,28.0,5730.0,29.428571428571427,5650.0,29.571428571428573,8585.833333333334,39.53333333333333,24360
0,2021-11-14,3,580,1.0,10595,43,11,14,2021,10495.0,42.0,6582.142857142857,31.571428571428573,5590.0,28.571428571428573,8582.0,39.7,24940
0,2021-11-15,1,580,1.0,2875,21,11,15,2021,10595.0,43.0,6002.857142857143,29.285714285714285,5403.214285714285,27.714285714285715,8066.5,38.0,12180
0,2021-11-16,5,580,1.0,4180,24,11,16,2021,2875.0,21.0,6019.285714285715,29.142857142857142,5447.5,28.142857142857142,7805.333333333333,37.0,13920
0,2021-11-17,6,580,1.0,11070,43,11,17,2021,4180.0,24.0,7024.285714285715,32.142857142857146,5947.142857142857,29.285714285714285,7780.5,36.43333333333333,24940
0,2021-11-18,4,580,1.0,8220,36,11,18,2021,11070.0,43.0,7642.142857142857,33.857142857142854,6263.928571428572,30.5,7526.5,35.53333333333333,20880
0,2021-11-19,0,580,1.0,6065,32,11,19,2021,8220.0,36.0,7642.857142857143,34.42857142857143,6438.928571428572,31.285714285714285,7371.666666666667,34.766666666666666,18560
0,2021-11-20,2,580,1.0,13295,72,11,20,2021,6065.0,32.0,8042.857142857143,38.71428571428572,6886.428571428572,34.07142857142857,7394.833333333333,35.56666666666667,41760
0,2021-11-21,3,580,1.0,6910,32,11,21,2021,13295.0,72.0,7516.428571428572,37.142857142857146,7049.285714285715,34.357142857142854,7241.5,34.93333333333333,18560
0,2021-11-22,1,580,1.0,5130,18,11,22,2021,6910.0,32.0,7838.571428571428,36.71428571428572,6920.714285714285,33.0,7010.166666666667,33.833333333333336,10440
0,2021-11-23,5,580,1.0,2940,16,11,23,2021,5130.0,18.0,7661.428571428572,35.57142857142857,6840.357142857143,32.357142857142854,6843.333333333333,33.06666666666667,9280
0,2021-11-24,6,580,1.0,6790,30,11,24,2021,2940.0,16.0,7050.0,33.714285714285715,7037.142857142857,32.92857142857143,6696.333333333333,32.7,17400
0,2021-11-25,4,580,1.0,4800,24,11,25,2021,6790.0,30.0,6561.428571428572,32.0,7101.785714285715,32.92857142857143,6545.0,32.266666666666666,13920
0,2021-11-26,0,580,1.0,18695,75,11,26,2021,4800.0,24.0,8365.714285714286,38.142857142857146,8004.285714285715,36.285714285714285,6929.833333333333,33.63333333333333,43500
0,2021-11-27,2,580,1.0,13900,58,11,27,2021,18695.0,75.0,8452.142857142857,36.142857142857146,8247.5,37.42857142857143,7156.833333333333,34.166666666666664,33640
0,2021-11-28,3,580,1.0,19900,76,11,28,2021,13900.0,58.0,10307.857142857143,42.42857142857143,8912.142857142857,39.785714285714285,7517.666666666667,35.43333333333333,44080
0,2021-11-29,1,580,1.0,19800,63,11,29,2021,19900.0,76.0,12403.57142857143,48.85714285714285,10121.07142857143,42.785714285714285,7808.833333333333,35.9,36540
0,2021-11-30,5,580,1.0,14310,50,11,30,2021,19800.0,63.0,14027.857142857143,53.71428571428572,10844.642857142857,44.642857142857146,7904.666666666667,35.666666666666664,29000
0,2021-12-01,6,580,1.0,8020,42,12,1,2021,14310.0,50.0,14203.57142857143,55.42857142857143,10626.785714285714,44.57142857142857,7989.0,35.96666666666667,24360
0,2021-12-02,4,580,1.0,18405,71,12,2,2021,8020.0,42.0,16147.142857142857,62.142857142857146,11354.285714285714,47.07142857142857,8483.833333333334,37.73333333333333,41180
0,2021-12-03,0,580,1.0,14635,59,12,3,2021,18405.0,71.0,15567.142857142857,59.85714285714285,11966.42857142857,49.0,8835.833333333334,38.8,34220
